State,County,Percent of Children with Confirmed BLLs ³5 µg/dL
KS,Finney,SD
KS,Ford,0.90%
KS,Franklin,SD
KS,Geary,SD
KS,Gove,0.00%
KS,Graham,SD
KS,Grant,0.00%
KS,Gray,SD
KS,Greeley,0.00%
KS,Greenwood,0.00%
KS,Hamilton,0.00%
KS,Harper,SD
KS,Harvey,SD
KS,Haskell,0.00%
KS,Hodgeman,0.00%
KS,Jackson,SD
KS,Jefferson,0.00%
KS,Jewell,0.00%
KS,Johnson,0.50%
KS,Kearny,SD
KS,Kingman,SD
KS,Kiowa,0.00%
KS,Labette,5.80%
KS,Lane,0.00%
KS,Leavenworth,1.30%
KS,Lincoln,SD
KS,Linn,SD
KS,Logan,0.00%
KS,Lyon,3.40%
KS,McPherson,2.70%
KS,Marion,SD
KS,Marshall,SD
KS,Meade,0.00%
KS,Miami,SD
KS,Mitchell,0.00%
KS,Montgomery,7.30%
KS,Morris,SD
KS,Morton,0.00%
KS,Nemaha,SD
KS,Neosho,SD
KS,Ness,0.00%
KS,Norton,SD
KS,Osage,0.00%
KS,Osborne,SD
KS,Ottawa,SD
KS,Pawnee,SD
KS,Phillips,SD
KS,Pottawatomie,SD
KS,Pratt,SD
KS,Rawlins,SD
KS,Reno,3.10%
KS,Republic,0.00%
KS,Rice,8.60%
KS,Riley,SD
KS,Rooks,SD
KS,Rush,SD
KS,Russell,0.00%
KS,Saline,5.90%
KS,Scott,0.00%
KS,Sedgwick,1.30%
KS,Seward,SD
KS,Shawnee,1.50%
KS,Sheridan,SD
KS,Sherman,SD
KS,Smith,0.00%
KS,Stafford,0.00%
KS,Stanton,0.00%
KS,Stevens,SD
KS,Sumner,0.00%
KS,Thomas,SD
KS,Trego,0.00%
KS,Wabaunsee,SD
KS,Wallace,0.00%
KS,Washington,0.00%
KS,Wichita,0.00%
KS,Wilson,SD
KS,Woodson,SD
KS,Wyandotte,1.60%
KS,Unknown,1.50%
LA,Acadia,SD
LA,Allen,0.00%
LA,Ascension,SD
LA,Assumption,SD
LA,Avoyelles,SD
LA,Beauregard,SD
LA,Bienville,0.00%
LA,Bossier,0.00%
LA,Caddo,1.00%
LA,Calcasieu,SD
LA,Caldwell,0.00%
LA,Cameron,0.00%
LA,Catahoula,0.00%
LA,Claiborne,SD
LA,Concordia,SD
LA,De Soto,0.00%
LA,East Baton Rouge,SD
LA,East Carroll,0.00%
LA,East Feliciana,SD
LA,Evangeline,SD
LA,Franklin,0.00%
LA,Grant,0.00%
LA,Iberia,0.00%
LA,Iberville,0.00%
LA,Jackson,0.00%
LA,Jefferson,0.30%
LA,Jefferson Davis,SD
LA,Lafayette,SD
LA,Lafourche,0.00%
LA,La Salle,0.00%
LA,Lincoln,SD
LA,Livingston,0.00%
LA,Madison,0.00%
LA,Morehouse,SD
LA,Natchitoches,0.00%
LA,Orleans,0.70%
LA,Ouachita,1.10%
LA,Plaquemines,0.00%
LA,Pointe Coupee,SD
LA,Rapides,SD
LA,Red River,0.00%
LA,Richland,SD
LA,Sabine,0.00%
LA,St. Bernard,0.00%
LA,St. Charles,0.00%
LA,St. Helena,0.00%
LA,St. James,0.00%
LA,St. Landry,SD
LA,St. Tammany,SD
LA,Tangipahoa,SD
LA,Tensas,0.00%
LA,Terrebonne,SD
LA,Union,SD
LA,Vermilion,0.00%
LA,Vernon,0.00%
LA,Washington,SD
LA,Webster,0.00%
LA,West Baton Rouge,0.00%
LA,West Carroll,0.00%
LA,West Feliciana,0.00%
LA,Winn,0.00%
LA,Unknown,0.50%
MD,Allegany,1.50%
MD,Anne Arundel,0.40%
MD,Baltimore,0.70%
MD,Calvert,0.60%
MD,Caroline,1.30%
MD,Carroll,0.40%
MD,Cecil,0.70%
MD,Charles,0.40%
MD,Dorchester,1.30%
MD,Frederick,0.60%
MD,Garrett,SD
MD,Harford,0.20%
MD,Howard,0.80%
MD,Kent,SD
MD,Montgomery,0.50%
MD,Prince George's,0.80%
MD,Queen Anne's,SD
MD,St. Mary's,SD
MD,Somerset,1.70%
MD,Talbot,1.60%
MD,Washington,1.60%
MD,Wicomico,0.90%
MD,Worcester,SD
MD,Baltimore (city),3.40%
MD,Unknown,4.10%
MI,Alcona,0.00%
MI,Alger,0.00%
MI,Allegan,1.30%
MI,Alpena,SD
MI,Antrim,0.00%
MI,Arenac,0.00%
MI,Baraga,0.00%
MI,Barry,SD
MI,Bay,0.80%
MI,Benzie,0.00%
MI,Berrien,2.80%
MI,Branch,3.60%
MI,Calhoun,2.90%
MI,Cass,1.90%
MI,Charlevoix,0.00%
MI,Cheboygan,SD
MI,Chippewa,0.00%
MI,Clare,0.00%
MI,Clinton,SD
MI,Crawford,0.00%
MI,Delta,SD
MI,Dickinson,SD
MI,Eaton,1.50%
MI,Emmet,0.00%
MI,Genesee,0.50%
MI,Gladwin,0.00%
MI,Gogebic,SD
MI,Grand Traverse,SD
MI,Gratiot,SD
MI,Hillsdale,3.40%
MI,Houghton,1.80%
MI,Huron,SD
MI,Ingham,2.80%
MI,Ionia,1.20%
MI,Iosco,0.00%
MI,Iron,SD
MI,Isabella,SD
MI,Jackson,0.90%
MI,Kalamazoo,1.10%
MI,Kalkaska,0.00%
MI,Kent,1.30%
MI,Keweenaw,0.00%
MI,Lake,0.00%
MI,Lapeer,SD
MI,Leelanau,0.00%
MI,Lenawee,2.80%
MI,Livingston,SD
MI,Luce,SD
MI,Mackinac,SD
MI,Macomb,0.20%
MI,Manistee,SD
MI,Marquette,SD
MI,Mason,SD
MI,Mecosta,SD
MI,Menominee,0.00%
MI,Midland,SD
MI,Missaukee,SD
MI,Monroe,0.70%
MI,Montcalm,1.50%
MI,Montmorency,0.00%
MI,Muskegon,1.50%
MI,Newaygo,0.00%
MI,Oakland,0.50%
MI,Oceana,SD
MI,Ogemaw,0.00%
MI,Ontonagon,0.00%
MI,Osceola,SD
MI,Oscoda,0.00%
MI,Otsego,SD
MI,Ottawa,0.60%
MI,Presque Isle,0.00%
MI,Roscommon,0.00%
MI,Saginaw,1.10%
MI,St. Clair,1.40%
MI,St. Joseph,5.80%
MI,Sanilac,SD
MI,Schoolcraft,0.00%
MI,Shiawassee,SD
MI,Tuscola,SD
MI,Van Buren,1.40%
MI,Washtenaw,0.40%
MI,Wayne,2.30%
MI,Wexford,SD
MI,Unknown,3.30%
MS,Adams,SD
MS,Alcorn,SD
MS,Amite,0.00%
MS,Attala,0.00%
MS,Benton,SD
MS,Bolivar,SD
MS,Calhoun,SD
MS,Carroll,SD
MS,Chickasaw,0.00%
MS,Choctaw,0.00%
MS,Claiborne,0.00%
MS,Clarke,SD
MS,Clay,0.00%
MS,Coahoma,SD
MS,Copiah,SD
MS,Covington,SD
MS,DeSoto,0.00%
MS,Forrest,SD
MS,Franklin,SD
MS,George,SD
MS,Greene,0.00%
MS,Grenada,SD
MS,Hancock,0.00%
MS,Harrison,0.00%
MS,Hinds,0.40%
MS,Holmes,SD
MS,Humphreys,0.00%
MS,Issaquena,0.00%
MS,Itawamba,0.00%
MS,Jackson,0.00%
MS,Jasper,SD
MS,Jefferson,0.00%
MS,Jefferson Davis,0.00%
MS,Jones,SD
MS,Kemper,SD
MS,Lafayette,SD
MS,Lamar,SD
MS,Lauderdale,2.00%
MS,Lawrence,SD
MS,Leake,SD
MS,Lee,SD
MS,Leflore,2.30%
MS,Lincoln,SD
MS,Lowndes,SD
MS,Madison,SD
MS,Marion,SD
MS,Marshall,SD
