State,County,Total Population of Children <72 Months of Age,Number of Children Tested <72 Months of Age,Number of Children with Confirmed BLLs ³5 µg/dL,Percent of Children with Confirmed BLLs ³5 µg/dL,Number of Children with Confirmed BLLs ³10 µg/dL,Percent of Children with Confirmed BLLs ³10 µg/dL,Number of Children with Confirmed BLLs 5-9 µg/dL,Number of Children with Confirmed BLLs 10-14 µg/dL,Number of Children with Confirmed BLLs 15-19 µg/dL,Number of Children with Confirmed BLLs 20-24 µg/dL,Number of Children with Confirmed BLLs 25-44 µg/dL,Number of Children with Confirmed BLLs ³45 µg/dL
FL,Hendry,3708,772,SD,SD,SD,SD,SD,SD,0,0,0,0
FL,Hernando,10835,1102,SD,SD,0,0.00%,SD,0,0,0,0,0
FL,Highlands,5450,1216,6,0.50%,SD,SD,SD,SD,0,0,0,0
FL,Hillsborough,107340,10887,29,0.30%,8,0.10%,21,SD,SD,SD,0,SD
FL,Holmes,1276,66,0,0.00%,0,0.00%,0,0,0,0,0,0
FL,Indian River,7744,955,0,0.00%,0,0.00%,0,0,0,0,0,0
FL,Jackson,2854,244,SD,SD,SD,SD,SD,SD,0,0,0,0
FL,Jefferson,742,107,SD,SD,0,0.00%,SD,0,0,0,0,0
FL,Lafayette,420,39,0,0.00%,0,0.00%,0,0,0,0,0,0
FL,Lake,22032,1498,6,0.40%,SD,SD,SD,SD,0,0,0,0
FL,Lee,43059,6010,19,0.30%,SD,SD,17,SD,0,0,0,0
FL,Leon,18188,1507,SD,SD,SD,SD,SD,0,SD,0,0,0
FL,Levy,2551,503,0,0.00%,0,0.00%,0,0,0,0,0,0
FL,Liberty,435,36,0,0.00%,0,0.00%,0,0,0,0,0,0
FL,Madison,1098,202,SD,SD,0,0.00%,SD,0,0,0,0,0
FL,Manatee,22251,949,SD,SD,SD,SD,SD,0,SD,0,0,0
FL,Marion,22284,1662,SD,SD,0,0.00%,SD,0,0,0,0,0
FL,Martin,7940,951,0,0.00%,0,0.00%,0,0,0,0,0,0
FL,Miami-Dade,185047,24505,60,0.20%,18,0.10%,42,12,SD,SD,0,0
FL,Monroe,3947,214,SD,SD,0,0.00%,SD,0,0,0,0,0
FL,Nassau,5489,179,0,0.00%,0,0.00%,0,0,0,0,0,0
FL,Okaloosa,16333,645,0,0.00%,0,0.00%,0,0,0,0,0,0
FL,Okeechobee,3034,882,SD,SD,0,0.00%,SD,0,0,0,0,0
FL,Orange,99970,8999,43,0.50%,20,0.20%,23,10,SD,SD,SD,SD
FL,Osceola,28491,2388,SD,SD,SD,SD,SD,SD,SD,0,0,0
FL,Palm Beach,91469,8545,18,0.20%,6,0.10%,12,6,0,0,0,0
FL,Pasco,35045,4023,7,0.20%,SD,SD,6,SD,0,0,0,0
FL,Pinellas,48617,4238,7,0.20%,SD,SD,6,SD,0,0,0,0
FL,Polk,51203,8058,9,0.10%,SD,SD,7,SD,0,0,0,0
FL,Putnam,5117,264,SD,SD,0,0.00%,SD,0,0,0,0,0
FL,St. Johns,16510,468,11,2.40%,SD,SD,9,SD,0,SD,0,0
FL,St. Lucie,20241,2486,6,0.20%,0,0.00%,6,0,0,0,0,0
FL,Santa Rosa,12727,671,SD,SD,0,0.00%,SD,0,0,0,0,0
FL,Sarasota,18264,1085,SD,SD,0,0.00%,SD,0,0,0,0,0
FL,Seminole,29702,1004,6,0.60%,0,0.00%,6,0,0,0,0,0
FL,Sumter,3053,370,SD,SD,0,0.00%,SD,0,0,0,0,0
FL,Suwannee,2865,198,0,0.00%,0,0.00%,0,0,0,0,0,0
FL,Taylor,1385,211,SD,SD,SD,SD,SD,0,SD,0,0,0
FL,Union,994,93,0,0.00%,0,0.00%,0,0,0,0,0,0
FL,Volusia,31076,1102,SD,SD,0,0.00%,SD,0,0,0,0,0
FL,Wakulla,2141,169,0,0.00%,0,0.00%,0,0,0,0,0,0
FL,Walton,5182,221,0,0.00%,0,0.00%,0,0,0,0,0,0
FL,Washington,1639,44,SD,SD,0,0.00%,SD,0,0,0,0,0
FL,Unknown,0,75,SD,SD,0,0.00%,SD,0,0,0,0,0
GA,Appling,1411,222,SD,SD,0,0.00%,SD,0,0,0,0,0
GA,Atkinson,712,109,SD,SD,0,0.00%,SD,0,0,0,0,0
GA,Bacon,891,176,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Baker,196,21,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Baldwin,2501,360,SD,SD,SD,SD,0,SD,0,0,0,0
GA,Banks,1289,117,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Barrow,6759,566,SD,SD,SD,SD,SD,0,0,0,0,SD
GA,Bartow,8126,583,SD,SD,0,0.00%,SD,0,0,0,0,0
GA,Ben Hill,1271,197,SD,SD,SD,SD,0,SD,0,0,0,0
GA,Berrien,1462,SD,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Bibb,11980,998,10,1.00%,SD,SD,8,SD,0,0,0,0
GA,Bleckley,788,92,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Brantley,1393,199,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Brooks,1043,166,SD,SD,SD,SD,0,SD,0,0,0,0
GA,Bryan,3625,365,SD,SD,SD,SD,SD,SD,0,0,0,0
GA,Bulloch,5462,1215,SD,SD,SD,SD,SD,SD,0,0,0,0
GA,Burke,1813,266,SD,SD,SD,SD,SD,0,0,0,SD,0
GA,Butts,1698,294,SD,SD,SD,SD,0,SD,0,0,0,0
GA,Calhoun,287,36,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Camden,4585,451,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Candler,842,178,SD,SD,0,0.00%,SD,0,0,0,0,0
GA,Carroll,9315,1138,6,0.50%,0,0.00%,6,0,0,0,0,0
GA,Catoosa,4331,290,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Charlton,720,70,SD,SD,SD,SD,0,SD,0,0,0,0
GA,Chatham,20880,2966,25,0.80%,9,0.30%,16,SD,SD,SD,SD,SD
GA,Chattahoochee,1038,184,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Chattooga,1783,74,SD,SD,SD,SD,SD,0,SD,SD,SD,SD
GA,Cherokee,18080,1230,SD,SD,0,0.00%,SD,0,0,0,0,0
GA,Clarke,7557,978,SD,SD,SD,SD,SD,SD,0,0,0,0
GA,Clay,197,20,SD,SD,SD,SD,0,0,SD,0,0,0
GA,Clayton,25737,2654,8,0.30%,SD,SD,6,SD,0,0,0,0
GA,Clinch,521,90,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Cobb,54169,3891,17,0.40%,SD,SD,16,0,0,SD,0,0
GA,Coffee,3494,449,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Colquitt,3550,435,SD,SD,SD,SD,SD,SD,0,0,0,0
GA,Columbia,12104,489,SD,SD,SD,SD,SD,0,0,SD,0,0
GA,Cook,1337,132,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Coweta,10459,600,SD,SD,SD,SD,SD,0,SD,0,0,0
GA,Crawford,714,42,SD,SD,0,0.00%,SD,0,0,0,0,0
GA,Crisp,1600,180,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Dade,949,61,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Dawson,1733,259,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Decatur,2187,239,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,DeKalb,61423,5461,39,0.70%,13,0.20%,26,9,SD,0,0,0
GA,Dodge,1220,45,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Dooly,631,76,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Dougherty,6659,896,SD,SD,SD,SD,SD,SD,0,0,0,0
GA,Douglas,10918,1305,SD,SD,SD,SD,SD,0,0,0,SD,0
GA,Early,792,47,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Echols,296,15,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Effingham,5297,579,SD,SD,0,0.00%,SD,0,0,0,0,0
GA,Elbert,1347,225,SD,SD,0,0.00%,SD,0,0,0,0,0
GA,Emanuel,1826,187,SD,SD,SD,SD,SD,SD,SD,0,0,0
GA,Evans,808,157,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Fannin,1240,251,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Fayette,6430,438,SD,SD,0,0.00%,SD,0,0,0,0,0
GA,Floyd,6985,352,9,2.60%,SD,SD,7,SD,0,SD,0,0
GA,Forsyth,17724,1039,7,0.70%,SD,SD,SD,0,SD,SD,0,0
GA,Franklin,1672,230,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Fulton,72303,5119,27,0.50%,9,0.20%,18,SD,SD,0,SD,0
GA,Gilmer,1921,245,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Glascock,176,6,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Glynn,5549,763,SD,SD,SD,SD,0,SD,0,0,0,0
GA,Gordon,4201,460,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Grady,1908,386,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Greene,1056,147,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Gwinnett,73004,6343,16,0.30%,9,0.10%,7,6,SD,SD,0,0
GA,Habersham,3160,190,SD,SD,0,0.00%,SD,0,0,0,0,0
GA,Hall,15774,754,SD,SD,SD,SD,0,SD,0,0,0,0
GA,Hancock,367,73,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Haralson,2322,212,SD,SD,SD,SD,SD,SD,0,0,0,0
GA,Harris,2177,232,SD,SD,SD,SD,0,SD,0,0,0,0
GA,Hart,1635,126,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Heard,777,45,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Henry,16845,2164,SD,SD,SD,SD,SD,SD,0,0,0,0
GA,Houston,12650,1330,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Irwin,623,90,SD,SD,0,0.00%,SD,0,0,0,0,0
GA,Jackson,5895,570,SD,SD,0,0.00%,SD,0,0,0,0,0
GA,Jasper,946,106,SD,SD,0,0.00%,SD,0,0,0,0,0
GA,Jeff Davis,1212,100,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Jefferson,1168,98,SD,SD,SD,SD,SD,SD,0,0,0,0
GA,Jenkins,580,122,SD,SD,SD,SD,0,SD,0,0,0,0
GA,Johnson,616,68,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Jones,1829,98,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Lamar,1345,165,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Lanier,838,58,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Laurens,3789,513,SD,SD,SD,SD,SD,SD,0,0,0,0
GA,Lee,2268,244,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Liberty,7539,651,SD,SD,0,0.00%,SD,0,0,0,0,0
GA,Lincoln,492,20,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Long,1769,168,SD,SD,0,0.00%,SD,0,0,0,0,0
GA,Lowndes,9617,1194,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Lumpkin,1777,131,SD,SD,0,0.00%,SD,0,0,0,0,0
GA,McDuffie,1596,63,SD,SD,SD,SD,0,SD,0,0,0,0
GA,McIntosh,680,91,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Macon,781,92,SD,SD,0,0.00%,SD,0,0,0,0,0
GA,Madison,2210,234,SD,SD,0,0.00%,SD,0,0,0,0,0
GA,Marion,504,49,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Meriwether,1477,132,SD,SD,0,0.00%,SD,0,0,0,0,0
GA,Miller,405,15,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Mitchell,1442,333,SD,SD,SD,SD,SD,SD,0,0,0,0
GA,Monroe,1713,202,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Montgomery,551,50,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Morgan,1399,170,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Murray,3023,433,SD,SD,SD,SD,0,SD,0,0,0,0
GA,Muscogee,16540,2313,8,0.30%,SD,SD,6,SD,0,0,0,0
GA,Newton,8751,1099,6,0.50%,0,0.00%,6,0,0,0,0,0
GA,Oconee,2754,161,SD,SD,0,0.00%,SD,0,0,0,0,0
GA,Oglethorpe,988,125,SD,SD,SD,SD,SD,SD,0,0,0,0
GA,Paulding,13232,857,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Peach,1911,387,SD,SD,SD,SD,SD,0,0,SD,0,0
GA,Pickens,1955,187,SD,SD,0,0.00%,SD,0,0,0,0,0
GA,Pierce,1527,302,SD,SD,0,0.00%,SD,0,0,0,0,0
GA,Pike,1256,132,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Polk,3471,182,SD,SD,SD,SD,SD,SD,0,0,0,0
GA,Pulaski,575,72,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Putnam,1375,194,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Quitman,144,18,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Rabun,875,45,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Randolph,394,67,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Richmond,16025,1412,22,1.60%,8,0.60%,14,SD,SD,SD,SD,0
GA,Rockdale,6319,835,SD,SD,SD,SD,SD,0,SD,0,0,0
GA,Schley,321,33,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Screven,979,233,SD,SD,SD,SD,0,SD,0,0,0,0
GA,Seminole,508,54,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Spalding,5174,732,8,1.10%,SD,SD,SD,SD,SD,0,0,0
GA,Stephens,1952,139,SD,SD,0,0.00%,SD,0,0,0,0,0
GA,Stewart,221,32,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Sumter,2118,300,SD,SD,SD,SD,0,SD,0,0,0,0
GA,Talbot,336,55,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Taliaferro,92,10,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Tattnall,1500,276,SD,SD,SD,SD,0,SD,0,0,0,0
GA,Taylor,519,59,SD,SD,SD,SD,SD,SD,0,0,0,0
GA,Telfair,803,57,SD,SD,0,0.00%,SD,0,0,0,0,0
GA,Terrell,604,90,6,6.70%,SD,SD,SD,SD,SD,0,0,0
GA,Thomas,3303,711,SD,SD,SD,SD,0,SD,SD,0,SD,0
GA,Tift,3358,241,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Toombs,2256,246,SD,SD,SD,SD,0,SD,0,SD,0,0
GA,Towns,525,85,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Treutlen,475,49,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Troup,5536,372,SD,SD,0,0.00%,SD,0,0,0,0,0
GA,Turner,682,83,SD,SD,SD,SD,0,SD,0,0,0,0
GA,Twiggs,455,29,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Union,1146,203,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Upson,1970,230,SD,SD,SD,SD,SD,0,0,0,SD,0
GA,Walker,4713,618,6,1.00%,SD,SD,SD,0,SD,0,SD,0
GA,Walton,6925,680,SD,SD,SD,SD,0,SD,0,0,0,0
GA,Ware,2941,653,SD,SD,SD,SD,SD,0,0,SD,0,0
GA,Warren,349,16,SD,SD,0,0.00%,SD,0,0,0,0,0
GA,Washington,1331,64,SD,SD,SD,SD,SD,0,SD,0,0,0
GA,Wayne,2227,546,SD,SD,0,0.00%,SD,0,0,0,0,0
GA,Webster,157,42,SD,SD,0,0.00%,SD,0,0,0,0,0
GA,Wheeler,399,37,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,White,1802,119,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Whitfield,7952,1144,8,0.70%,SD,SD,SD,SD,0,0,0,0
GA,Wilcox,500,57,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Wilkes,602,79,SD,SD,0,0.00%,SD,0,0,0,0,0
GA,Wilkinson,592,117,SD,SD,SD,SD,0,0,SD,0,0,0
GA,Worth,1337,106,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Unknown,0,10397,65,0.60%,13,0.10%,52,7,SD,SD,SD,0
HI ,Hawaii,13727,1661,19,1.10%,SD,SD,17,SD,0,0,0,0
HI ,Honolulu,70917,11042,25,0.20%,10,0.10%,15,SD,SD,SD,SD,0
HI ,Kalawao,0,0,0,0.00%,0,0.00%,0,0,0,0,0,0
HI ,Kauai,4968,541,SD,SD,SD,SD,SD,SD,0,0,0,0
HI ,Maui,11659,1814,10,0.60%,SD,SD,6,SD,SD,0,SD,0
