State,County,lat,lng
CO,Yuma,40.0029,-102.4243
CT,Capitol,41.8185,-72.572
CT,Greater Bridgeport,41.2428,-73.2314
CT,Lower Connecticut River Valley,41.45,-72.5073
CT,Naugatuck Valley,41.5231,-73.086
CT,Northeastern Connecticut,41.827,-71.9769
CT,Northwest Hills,41.8469,-73.2212
CT,South Central Connecticut,41.3613,-72.8445
CT,Southeastern Connecticut,41.5023,-72.1
CT,Western Connecticut,41.3225,-73.4475
DC,District of Columbia,38.9047,-77.0163
DE,Kent,39.086,-75.5686
DE,New Castle,39.5768,-75.6527
DE,Sussex,38.6606,-75.39
FL,Alachua,29.6747,-82.3577
FL,Baker,30.3311,-82.2846
FL,Bay,30.2652,-85.6203
FL,Bradford,29.95,-82.1687
FL,Brevard,28.2937,-80.7323
FL,Broward,26.1523,-80.4871
FL,Calhoun,30.406,-85.1972
FL,Charlotte,26.9058,-81.9114
FL,Citrus,28.8489,-82.4794
FL,Clay,29.9831,-81.8579
FL,Collier,26.1108,-81.3474
FL,Columbia,30.2242,-82.6215
FL,DeSoto,27.1864,-81.8095
FL,Dixie,29.6086,-83.1587
FL,Duval,30.3313,-81.6715
FL,Escambia,30.669,-87.363
FL,Flagler,29.4614,-81.3136
FL,Franklin,29.8766,-84.8137
FL,Gadsden,30.5795,-84.6136
FL,Gilchrist,29.7258,-82.8004
FL,Glades,26.9564,-81.189
FL,Gulf,29.9565,-85.2263
FL,Hamilton,30.4964,-82.9479
FL,Hardee,27.4927,-81.81
FL,Hendry,26.5535,-81.1659
FL,Hernando,28.5537,-82.424
FL,Highlands,27.3433,-81.341
FL,Hillsborough,27.9292,-82.3088
FL,Holmes,30.8679,-85.814
FL,Indian River,27.6943,-80.6064
FL,Jackson,30.7954,-85.2155
FL,Jefferson,30.4375,-83.8953
FL,Lafayette,29.9855,-83.1811
FL,Lake,28.7615,-81.7113
FL,Lee,26.578,-81.8332
FL,Leon,30.458,-84.2779
FL,Levy,29.3184,-82.7434
FL,Liberty,30.2413,-84.8829
FL,Madison,30.4441,-83.4701
FL,Manatee,27.4719,-82.3153
FL,Marion,29.2102,-82.0567
FL,Martin,27.0775,-80.4315
FL,Miami-Dade,25.615,-80.5624
FL,Monroe,25.3192,-81.1089
FL,Nassau,30.6107,-81.8019
FL,Okaloosa,30.6913,-86.5917
FL,Okeechobee,27.3864,-80.8886
FL,Orange,28.5144,-81.3235
FL,Osceola,28.0626,-81.1495
FL,Palm Beach,26.6476,-80.4655
FL,Pasco,28.3092,-82.392
FL,Pinellas,27.9198,-82.7255
FL,Polk,27.9489,-81.6976
FL,Putnam,29.6087,-81.7443
FL,Santa Rosa,30.7004,-87.0219
FL,Sarasota,27.1845,-82.3315
FL,Seminole,28.717,-81.2363
FL,St. Johns,29.9016,-81.4407
FL,St. Lucie,27.3773,-80.4721
FL,Sumter,28.7048,-82.081
FL,Suwannee,30.1956,-82.9915
FL,Taylor,30.047,-83.6035
FL,Union,30.0439,-82.3714
FL,Volusia,29.0584,-81.1819
FL,Wakulla,30.1673,-84.4007
FL,Walton,30.6436,-86.1697
FL,Washington,30.6106,-85.6653
GA,Appling,31.7492,-82.2889
GA,Atkinson,31.2971,-82.8801
GA,Bacon,31.5537,-82.4527
GA,Baker,31.3261,-84.4447
GA,Baldwin,33.0693,-83.2495
GA,Banks,34.3543,-83.4972
GA,Barrow,33.9932,-83.7127
GA,Bartow,34.2377,-84.8403
GA,Ben Hill,31.7598,-83.2205
GA,Berrien,31.276,-83.2296
GA,Bibb,32.8065,-83.6974
GA,Bleckley,32.4345,-83.3278
GA,Brantley,31.1969,-81.9819
GA,Brooks,30.842,-83.5802
GA,Bryan,32.0145,-81.4436
GA,Bulloch,32.3968,-81.7432
GA,Burke,33.0611,-82.0007
GA,Butts,33.2879,-83.9572
GA,Calhoun,31.5292,-84.6245
GA,Camden,30.9306,-81.6699
GA,Candler,32.4034,-82.0737
GA,Carroll,33.5828,-85.0798
