"Label (Grouping)","Total:","Total:!!Complete plumbing facilities:","Total:!!Complete plumbing facilities:!!1.00 or less occupants per room:","Total:!!Complete plumbing facilities:!!1.00 or less occupants per room:!!Built 1950 or later","Total:!!Complete plumbing facilities:!!1.00 or less occupants per room:!!Built 1940 to 1949","Total:!!Complete plumbing facilities:!!1.00 or less occupants per room:!!Built 1939 or earlier","Total:!!Complete plumbing facilities:!!1.01 or more occupants per room:","Total:!!Complete plumbing facilities:!!1.01 or more occupants per room:!!Built 1950 or later","Total:!!Complete plumbing facilities:!!1.01 or more occupants per room:!!Built 1940 to 1949","Total:!!Complete plumbing facilities:!!1.01 or more occupants per room:!!Built 1939 or earlier","Total:!!Lacking complete plumbing facilities:","Total:!!Lacking complete plumbing facilities:!!1.00 or less occupants per room:","Total:!!Lacking complete plumbing facilities:!!1.00 or less occupants per room:!!Built 1950 or later","Total:!!Lacking complete plumbing facilities:!!1.00 or less occupants per room:!!Built 1940 to 1949","Total:!!Lacking complete plumbing facilities:!!1.00 or less occupants per room:!!Built 1939 or earlier","Total:!!Lacking complete plumbing facilities:!!1.01 or more occupants per room:","Total:!!Lacking complete plumbing facilities:!!1.01 or more occupants per room:!!Built 1950 or later","Total:!!Lacking complete plumbing facilities:!!1.01 or more occupants per room:!!Built 1940 to 1949","Total:!!Lacking complete plumbing facilities:!!1.01 or more occupants per room:!!Built 1939 or earlier"
"    Estimate","5,195","5,195","5,124","3,688","208","1,228","71","66","5","0","0","0","0","0","0","0","0","0","0"
"Mercer County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","6,413","6,392","6,355","3,844","415","2,096","37","30","0","7","21","19","19","0","0","2","0","0","2"
"Monroe County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","13,830","13,830","13,787","11,945","583","1,259","43","43","0","0","0","0","0","0","0","0","0","0","0"
"Montgomery County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","11,265","11,246","11,007","7,083","884","3,040","239","160","28","51","19","19","16","0","3","0","0","0","0"
"Morgan County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","13,125","13,050","12,959","9,119","676","3,164","91","50","2","39","75","72","54","0","18","3","3","0","0"
"Moultrie County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","5,822","5,822","5,714","3,918","376","1,420","108","70","0","38","0","0","0","0","0","0","0","0","0"
"Ogle County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","20,695","20,643","20,362","15,138","1,092","4,132","281","222","0","59","52","49","49","0","0","3","3","0","0"
"Peoria County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","77,074","76,597","75,130","55,575","5,393","14,162","1,467","1,037","17","413","477","477","215","17","245","0","0","0","0"
"Perry County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","7,994","7,932","7,819","5,489","750","1,580","113","60","53","0","62","62","62","0","0","0","0","0","0"
"Piatt County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","6,851","6,846","6,826","5,106","302","1,418","20","1","16","3","5","5","5","0","0","0","0","0","0"
"Pike County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","5,815","5,795","5,713","3,734","484","1,495","82","39","3","40","20","20","19","0","1","0","0","0","0"
"Pope County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","1,364","1,351","1,341","1,138","43","160","10","10","0","0","13","13","13","0","0","0","0","0","0"
"Pulaski County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","1,862","1,859","1,838","1,336","152","350","21","4","17","0","3","3","3","0","0","0","0","0","0"
"Putnam County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","2,473","2,473","2,460","1,790","118","552","13","3","0","10","0","0","0","0","0","0","0","0","0"
"Randolph County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","11,671","11,610","11,504","8,866","842","1,796","106","55","2","49","61","61","11","41","9","0","0","0","0"
"Richland County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","6,401","6,381","6,244","4,947","345","952","137","131","0","6","20","20","13","0","7","0","0","0","0"
"Rock Island County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","61,192","61,108","60,176","41,789","5,454","12,933","932","559","142","231","84","71","54","9","8","13","0","0","13"
"St. Clair County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","101,273","100,948","99,268","81,714","4,908","12,646","1,680","1,408","41","231","325","313","282","0","31","12","0","0","12"
"Saline County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","10,032","9,932","9,769","7,217","1,062","1,490","163","51","97","15","100","100","44","12","44","0","0","0","0"
"Sangamon County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","84,290","84,145","82,734","65,578","4,938","12,218","1,411","1,091","156","164","145","145","107","3","35","0","0","0","0"
"Schuyler County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","2,732","2,704","2,669","1,801","218","650","35","35","0","0","28","28","15","0","13","0","0","0","0"
"Scott County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","2,032","2,021","1,987","1,224","121","642","34","20","0","14","11","11","9","2","0","0","0","0","0"
"Shelby County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","8,795","8,782","8,550","5,735","413","2,402","232","203","0","29","13","13","8","0","5","0","0","0","0"
"Stark County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","2,289","2,271","2,265","1,338","180","747","6","3","0","3","18","18","14","4","0","0","0","0","0"
"Stephenson County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","19,469","19,396","19,161","12,101","971","6,089","235","123","38","74","73","73","64","0","9","0","0","0","0"
"Tazewell County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","53,812","53,741","53,266","41,557","3,844","7,865","475","350","80","45","71","71","58","0","13","0","0","0","0"
"Union County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","6,914","6,890","6,841","5,132","519","1,190","49","31","4","14","24","24","15","0","9","0","0","0","0"
"Vermilion County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","30,185","30,061","29,751","18,090","1,770","9,891","310","263","0","47","124","109","27","50","32","15","8","0","7"
"Wabash County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","4,784","4,723","4,656","3,187","403","1,066","67","67","0","0","61","60","33","0","27","1","0","0","1"
"Warren County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","6,722","6,672","6,631","3,956","437","2,238","41","12","0","29","50","50","3","0","47","0","0","0","0"
"Washington County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","5,722","5,714","5,652","4,175","337","1,140","62","52","8","2","8","8","0","0","8","0","0","0","0"
"Wayne County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","6,853","6,780","6,675","5,131","611","933","105","58","0","47","73","53","28","0","25","20","20","0","0"
"White County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","5,669","5,636","5,580","3,663","861","1,056","56","44","8","4","33","33","19","13","1","0","0","0","0"
"Whiteside County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","23,215","23,099","22,827","15,471","1,733","5,623","272","233","19","20","116","116","10","0","106","0","0","0","0"
"Will County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","241,310","240,565","235,698","215,050","5,295","15,353","4,867","3,999","191","677","745","727","538","92","97","18","18","0","0"
"Williamson County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","28,774","28,679","28,504","23,008","1,492","4,004","175","138","37","0","95","95","83","0","12","0","0","0","0"
"Winnebago County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","115,449","115,083","113,048","89,977","6,916","16,155","2,035","1,420","137","478","366","266","142","16","108","100","92","8","0"
"Woodford County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","14,704","14,704","14,670","11,374","799","2,497","34","34","0","0","0","0","0","0","0","0","0","0","0"
