"GEO_ID","NAME","B25034_001E","B25034_001M","B25034_002E","B25034_002M","B25034_003E","B25034_003M","B25034_004E","B25034_004M","B25034_005E","B25034_005M","B25034_006E","B25034_006M","B25034_007E","B25034_007M","B25034_008E","B25034_008M","B25034_009E","B25034_009M","B25034_010E","B25034_010M","B25034_011E","B25034_011M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Built 2020 or later","Margin of Error!!Total:!!Built 2020 or later","Estimate!!Total:!!Built 2010 to 2019","Margin of Error!!Total:!!Built 2010 to 2019","Estimate!!Total:!!Built 2000 to 2009","Margin of Error!!Total:!!Built 2000 to 2009","Estimate!!Total:!!Built 1990 to 1999","Margin of Error!!Total:!!Built 1990 to 1999","Estimate!!Total:!!Built 1980 to 1989","Margin of Error!!Total:!!Built 1980 to 1989","Estimate!!Total:!!Built 1970 to 1979","Margin of Error!!Total:!!Built 1970 to 1979","Estimate!!Total:!!Built 1960 to 1969","Margin of Error!!Total:!!Built 1960 to 1969","Estimate!!Total:!!Built 1950 to 1959","Margin of Error!!Total:!!Built 1950 to 1959","Estimate!!Total:!!Built 1940 to 1949","Margin of Error!!Total:!!Built 1940 to 1949","Estimate!!Total:!!Built 1939 or earlier","Margin of Error!!Total:!!Built 1939 or earlier",
"0500000US48189","Hale County, Texas","13403","169","0","30","542","241","352","103","1100","233","1388","311","2205","292","2940","340","2733","329","1290","221","853","190",
"0500000US48191","Hall County, Texas","1765","13","0","14","29","22","35","25","76","38","36","21","278","74","345","79","189","55","111","45","666","94",
"0500000US48193","Hamilton County, Texas","4363","29","0","20","206","81","554","130","314","101","398","108","786","193","453","156","539","146","477","119","636","182",
"0500000US48195","Hansford County, Texas","2288","32","0","20","46","39","108","99","82","40","232","68","477","120","575","132","540","135","125","68","103","54",
"0500000US48197","Hardeman County, Texas","1784","84","0","14","54","45","74","44","118","48","173","70","218","77","317","81","250","72","165","60","415","80",
"0500000US48199","Hardin County, Texas","23980","92","31","32","2840","512","5395","593","4064","489","2432","433","3674","459","2631","472","1556","295","806","242","551","201",
"0500000US48201","Harris County, Texas","1821640","852","5018","756","235107","4240","331480","4528","228042","4358","294076","5143","321506","4348","173743","3371","129783","3030","54295","1798","48590","1764",
"0500000US48203","Harrison County, Texas","29116","131","107","75","2999","458","4864","591","4152","515","3816","606","3902","469","3383","389","2238","432","1739","336","1916","305",
"0500000US48205","Hartley County, Texas","1932","101","0","20","55","38","194","82","411","128","332","139","393","107","140","62","198","84","35","25","174","89",
"0500000US48207","Haskell County, Texas","3114","78","0","20","75","34","110","36","257","77","405","105","347","92","522","106","517","108","356","85","525","119",
"0500000US48209","Hays County, Texas","90450","306","571","186","28350","1477","24627","1424","13797","1070","10716","1006","5912","699","2593","676","1863","355","964","360","1057","268",
"0500000US48211","Hemphill County, Texas","1716","85","0","14","175","75","201","79","91","56","353","94","282","94","90","47","110","51","121","57","293","113",
"0500000US48213","Henderson County, Texas","40629","131","140","92","4773","509","6750","532","6320","651","7545","701","8069","659","3723","490","1755","362","722","191","832","213",
"0500000US48215","Hidalgo County, Texas","290393","217","669","240","42974","2070","82807","2422","60802","2208","46778","1839","29331","1468","13038","1208","7512","776","3380","488","3102","544",
"0500000US48217","Hill County, Texas","16184","100","26","17","1432","222","2505","236","3004","299","2289","261","1993","248","1517","217","1384","195","623","124","1411","179",
"0500000US48219","Hockley County, Texas","9192","107","52","67","435","115","801","148","1008","149","1780","236","1725","189","1354","188","1044","169","454","110","539","147",
"0500000US48221","Hood County, Texas","27987","88","113","119","4550","553","6324","647","5522","572","5313","580","3997","455","1040","297","369","119","359","126","400","127",
"0500000US48223","Hopkins County, Texas","15632","102","42","28","1941","319","2265","272","1486","278","2519","301","3201","352","1387","203","973","210","761","227","1057","220",
"0500000US48225","Houston County, Texas","10853","254","15","23","348","121","1540","242","1362","231","1987","305","2370","302","1123","224","863","151","473","120","772","196",
"0500000US48227","Howard County, Texas","13887","206","0","30","756","214","760","200","918","188","1103","227","2163","299","3225","398","3332","369","1021","193","609","143",
"0500000US48229","Hudspeth County, Texas","1157","80","0","14","86","48","112","57","234","108","262","114","152","64","132","84","157","72","16","14","6","6",
"0500000US48231","Hunt County, Texas","40251","146","45","34","4617","456","6368","505","6383","606","7462","611","5939","489","4726","494","2563","459","618","156","1530","324",
"0500000US48233","Hutchinson County, Texas","10241","42","0","27","432","150","419","110","627","183","1991","291","1423","178","1775","242","2336","231","836","169","402","107",
"0500000US48235","Irion County, Texas","846","58","0","14","18","17","50","35","155","54","181","52","48","41","135","43","87","43","56","43","116","41",
"0500000US48237","Jack County, Texas","3817","83","0","20","220","58","563","114","358","104","453","106","706","144","443","111","517","154","200","85","357","111",
"0500000US48239","Jackson County, Texas","6942","45","0","23","494","155","691","182","693","190","1233","258","910","227","738","189","1087","243","745","186","351","123",
"0500000US48241","Jasper County, Texas","16307","74","91","101","1491","304","1844","395","2877","487","3178","465","3029","439","1948","347","1124","266","240","105","485","156",
"0500000US48243","Jeff Davis County, Texas","1755","199","0","14","140","71","354","143","134","76","452","156","259","107","97","72","109","77","109","62","101","58",
"0500000US48245","Jefferson County, Texas","108335","621","418","210","9068","783","12360","788","10902","949","12550","864","18440","1245","20447","854","14190","880","5426","606","4534","462",
"0500000US48247","Jim Hogg County, Texas","2252","194","0","14","142","69","138","87","465","181","227","96","385","117","259","119","242","126","179","81","215","102",
"0500000US48249","Jim Wells County, Texas","16187","56","75","103","1252","342","2278","375","2183","437","2584","430","3284","476","1995","303","1285","261","539","166","712","224",
"0500000US48251","Johnson County, Texas","65065","190","329","147","8093","818","13931","925","12020","993","10424","799","10506","679","4461","550","3183","476","853","233","1265","264",
"0500000US48253","Jones County, Texas","7018","341","0","23","245","119","684","166","575","164","606","132","1144","240","984","185","1158","227","761","160","861","167",
"0500000US48255","Karnes County, Texas","5803","248","0","23","795","234","468","146","871","193","726","181","956","199","504","138","557","134","374","107","552","169",
"0500000US48257","Kaufman County, Texas","49393","102","333","155","10894","741","13756","735","7439","621","6285","640","4505","514","2681","374","1476","312","533","203","1491","301",
"0500000US48259","Kendall County, Texas","17881","58","139","99","3849","445","5108","465","3179","462","2425","370","1411","357","310","103","501","208","264","126","695","201",
"0500000US48261","Kenedy County, Texas","119","56","0","14","0","14","17","15","0","14","0","14","9","9","14","14","59","43","18","15","2","5",
"0500000US48263","Kent County, Texas","457","71","0","14","33","23","42","21","10","12","93","47","69","46","62","26","53","26","21","13","74","32",
"0500000US48265","Kerr County, Texas","25053","140","108","121","2299","357","4333","530","3918","479","4945","431","3944","457","1885","358","1363","271","1183","268","1075","228",
"0500000US48267","Kimble County, Texas","2733","117","0","14","122","67","368","109","381","113","337","105","417","117","304","109","308","84","187","82","309","97",
"0500000US48269","King County, Texas","136","30","0","14","16","15","24","13","7","5","8","7","18","14","15","13","6","7","32","18","10","8",
"0500000US48271","Kinney County, Texas","1495","170","0","14","21","24","181","92","286","136","170","107","537","155","0","14","112","72","0","14","188","104",
"0500000US48273","Kleberg County, Texas","13875","139","48","58","1507","377","1389","315","1614","361","1574","386","2705","464","1870","381","1709","377","884","219","575","244",
"0500000US48275","Knox County, Texas","1826","34","0","14","55","30","41","23","113","38","210","60","322","80","288","65","288","65","199","51","310","81",
"0500000US48277","Lamar County, Texas","22641","74","56","77","1744","279","2923","370","3373","424","4174","433","4550","430","2289","335","1483","320","1055","228","994","209",
"0500000US48279","Lamb County, Texas","5909","42","0","23","107","74","303","92","418","124","611","139","769","139","1185","191","1426","169","673","147","417","107",
"0500000US48281","Lampasas County, Texas","9636","57","10","13","1129","229","1879","259","1623","295","1205","234","1306","231","754","225","829","198","236","90","665","182",
"0500000US48283","La Salle County, Texas","2387","214","0","20","163","128","280","127","371","188","210","109","422","210","225","118","188","114","134","103","394","163",
"0500000US48285","Lavaca County, Texas","10440","77","16","26","944","171","1185","203","1082","184","1257","189","1470","208","1061","203","1180","190","869","187","1376","197",
"0500000US48287","Lee County, Texas","7840","43","0","23","869","227","1454","306","1656","289","1009","228","1029","253","583","180","403","119","260","119","577","203",
"0500000US48289","Leon County, Texas","8989","22","0","23","1219","258","1590","308","1834","334","1459","282","1230","204","640","161","324","122","212","81","481","164",
"0500000US48291","Liberty County, Texas","32638","389","312","143","4221","626","5645","611","6565","703","3998","572","6134","608","2555","411","1635","328","713","207","860","270",
"0500000US48293","Limestone County, Texas","10400","93","33","43","660","149","1554","224","1628","245","1986","259","1735","275","935","211","497","152","370","133","1002","151",
"0500000US48295","Lipscomb County, Texas","1472","72","2","3","75","30","123","43","53","30","188","49","359","72","188","55","141","39","163","47","180","36",
"0500000US48297","Live Oak County, Texas","5955","84","0","23","557","191","770","172","785","183","1014","200","1309","245","788","199","321","108","201","96","210","101",
"0500000US48299","Llano County, Texas","15196","42","5","8","1316","235","3081","376","2898","354","2852","442","2334","339","1420","307","681","173","255","117","354","106",
"0500000US48301","Loving County, Texas","50","28","0","14","2","3","1","2","2","5","5","8","17","18","0","14","14","10","0","14","9","16",
"0500000US48303","Lubbock County, Texas","131286","588","134","88","17006","1014","19115","989","16101","894","17321","983","21641","1271","16537","939","14946","908","4978","552","3507","563",
"0500000US48305","Lynn County, Texas","2541","35","0","20","198","56","131","53","93","39","263","67","362","74","598","97","490","94","151","48","255","73",
"0500000US48307","McCulloch County, Texas","4237","23","0","20","193","60","229","84","312","84","557","154","706","177","583","151","381","159","474","149","802","185",
"0500000US48309","McLennan County, Texas","104968","292","194","107","11060","758","12444","836","12031","917","16123","1073","17797","1121","11887","745","13755","698","4749","497","4928","413",
"0500000US48311","McMullen County, Texas","348","60","0","14","102","40","37","24","39","21","18","14","37","23","19","17","38","20","23","17","35","27",
"0500000US48313","Madison County, Texas","5076","299","5","9","386","114","787","173","742","190","696","192","823","214","678","191","395","190","284","123","280","103",
