"GEO_ID","NAME","B25048_001E","B25048_001M","B25048_002E","B25048_002M","B25048_003E","B25048_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Complete plumbing facilities","Margin of Error!!Total:!!Complete plumbing facilities","Estimate!!Total:!!Lacking complete plumbing facilities","Margin of Error!!Total:!!Lacking complete plumbing facilities",
"0500000US06027","Inyo County, California","7832","277","7718","274","114","72",
"0500000US06029","Kern County, California","274705","1373","273485","1473","1220","376",
"0500000US06031","Kings County, California","43286","495","43271","493","15","14",
"0500000US06033","Lake County, California","26307","542","26143","550","164","107",
"0500000US06035","Lassen County, California","8910","386","8855","392","55","45",
"0500000US06037","Los Angeles County, California","3342811","5387","3327687","5455","15124","900",
"0500000US06039","Madera County, California","43578","647","43468","636","110","75",
"0500000US06041","Marin County, California","103751","697","103475","720","276","113",
"0500000US06043","Mariposa County, California","7588","335","7467","347","121","63",
"0500000US06045","Mendocino County, California","34183","558","33882","573","301","182",
"0500000US06047","Merced County, California","81618","674","81320","695","298","114",
"0500000US06049","Modoc County, California","3413","244","3413","244","0","19",
"0500000US06051","Mono County, California","5361","405","5163","393","198","235",
"0500000US06053","Monterey County, California","129977","846","129571","867","406","144",
"0500000US06055","Napa County, California","48745","544","48568","575","177","118",
"0500000US06057","Nevada County, California","40877","653","40773","662","104","64",
"0500000US06059","Orange County, California","1057592","2642","1055420","2633","2172","358",
"0500000US06061","Placer County, California","149714","709","149512","732","202","107",
"0500000US06063","Plumas County, California","8231","291","8214","287","17","22",
"0500000US06065","Riverside County, California","740506","2031","738401","2070","2105","343",
"0500000US06067","Sacramento County, California","559036","1538","557506","1599","1530","290",
"0500000US06069","San Benito County, California","19144","201","19077","207","67","63",
"0500000US06071","San Bernardino County, California","651743","2010","649485","2064","2258","419",
"0500000US06073","San Diego County, California","1139899","3376","1136467","3342","3432","485",
"0500000US06075","San Francisco County, California","361222","2202","353893","2183","7329","781",
"0500000US06077","San Joaquin County, California","234662","982","233631","964","1031","267",
"0500000US06079","San Luis Obispo County, California","106790","1211","106575","1221","215","107",
"0500000US06081","San Mateo County, California","264892","1199","264312","1197","580","172",
"0500000US06083","Santa Barbara County, California","147446","845","146996","847","450","157",
"0500000US06085","Santa Clara County, California","646847","2058","644862","2061","1985","311",
"0500000US06087","Santa Cruz County, California","96476","987","96074","1018","402","141",
"0500000US06089","Shasta County, California","71314","640","70921","691","393","181",
"0500000US06091","Sierra County, California","1151","153","1147","152","4","7",
"0500000US06093","Siskiyou County, California","18598","345","18514","353","84","42",
"0500000US06095","Solano County, California","153632","844","153151","858","481","201",
"0500000US06097","Sonoma County, California","188841","973","187890","1054","951","403",
"0500000US06099","Stanislaus County, California","175067","752","174417","729","650","316",
"0500000US06101","Sutter County, California","32703","347","32567","349","136","78",
"0500000US06103","Tehama County, California","24551","399","24206","432","345","184",
"0500000US06105","Trinity County, California","5492","221","5395","241","97","78",
"0500000US06107","Tulare County, California","139631","703","139219","755","412","235",
"0500000US06109","Tuolumne County, California","23103","533","23030","528","73","46",
"0500000US06111","Ventura County, California","274471","963","273515","1047","956","296",
"0500000US06113","Yolo County, California","75471","570","75100","609","371","199",
"0500000US06115","Yuba County, California","26888","492","26643","484","245","126",
"0500000US08001","Adams County, Colorado","176880","678","176558","697","322","138",
"0500000US08003","Alamosa County, Colorado","6327","181","6151","198","176","108",
"0500000US08005","Arapahoe County, Colorado","247251","950","246620","951","631","179",
"0500000US08007","Archuleta County, Colorado","5770","384","5746","385","24","19",
"0500000US08009","Baca County, Colorado","1594","77","1594","77","0","13",
"0500000US08011","Bent County, Colorado","1805","230","1757","214","48","56",
"0500000US08013","Boulder County, Colorado","131701","697","131304","741","397","151",
"0500000US08014","Broomfield County, Colorado","29487","276","29440","276","47","37",
"0500000US08015","Chaffee County, Colorado","8539","380","8491","401","48","81",
"0500000US08017","Cheyenne County, Colorado","695","64","695","64","0","13",
"0500000US08019","Clear Creek County, Colorado","4427","250","4402","249","25","24",
"0500000US08021","Conejos County, Colorado","3097","146","3055","146","42","37",
"0500000US08023","Costilla County, Colorado","1446","118","1398","112","48","32",
"0500000US08025","Crowley County, Colorado","1340","191","1327","190","13","11",
"0500000US08027","Custer County, Colorado","2124","227","2103","225","21","25",
"0500000US08029","Delta County, Colorado","12143","351","11999","355","144","81",
"0500000US08031","Denver County, Colorado","313926","1487","312941","1571","985","311",
"0500000US08033","Dolores County, Colorado","1144","122","1115","116","29","32",
"0500000US08035","Douglas County, Colorado","127921","685","127740","685","181","126",
"0500000US08037","Eagle County, Colorado","19511","553","19499","551","12","16",
"0500000US08039","Elbert County, Colorado","9261","107","9261","107","0","24",
"0500000US08041","El Paso County, Colorado","270178","1020","269575","1087","603","181",
"0500000US08043","Fremont County, Colorado","17510","593","17394","591","116","94",
"0500000US08045","Garfield County, Colorado","21707","408","21651","395","56","79",
"0500000US08047","Gilpin County, Colorado","2791","263","2746","269","45","68",
"0500000US08049","Grand County, Colorado","5841","431","5828","432","13","17",
"0500000US08051","Gunnison County, Colorado","7100","318","7066","318","34","23",
"0500000US08053","Hinsdale County, Colorado","442","69","442","69","0","13",
"0500000US08055","Huerfano County, Colorado","2744","213","2722","211","22","30",
"0500000US08057","Jackson County, Colorado","632","90","632","90","0","13",
"0500000US08059","Jefferson County, Colorado","236499","784","235876","842","623","240",
"0500000US08061","Kiowa County, Colorado","584","75","579","74","5","5",
"0500000US08063","Kit Carson County, Colorado","2964","122","2961","122","3","4",
"0500000US08065","Lake County, Colorado","2795","299","2795","299","0","18",
"0500000US08067","La Plata County, Colorado","22266","457","22175","453","91","47",
"0500000US08069","Larimer County, Colorado","145175","799","144635","872","540","297",
"0500000US08071","Las Animas County, Colorado","6410","256","6385","253","25","22",
"0500000US08073","Lincoln County, Colorado","1812","184","1798","187","14","13",
"0500000US08075","Logan County, Colorado","7928","198","7917","200","11","12",
"0500000US08077","Mesa County, Colorado","61977","626","61924","628","53","41",
"0500000US08079","Mineral County, Colorado","386","63","386","63","0","13",
"0500000US08081","Moffat County, Colorado","5121","181","5098","173","23","37",
"0500000US08083","Montezuma County, Colorado","10461","305","10347","313","114","77",
"0500000US08085","Montrose County, Colorado","16840","324","16812","326","28","24",
"0500000US08087","Morgan County, Colorado","10601","211","10535","212","66","59",
"0500000US08089","Otero County, Colorado","7618","244","7585","244","33","29",
"0500000US08091","Ouray County, Colorado","2204","157","2204","157","0","13",
"0500000US08093","Park County, Colorado","7169","397","7126","393","43","56",
"0500000US08095","Phillips County, Colorado","1715","164","1715","164","0","13",
"0500000US08097","Pitkin County, Colorado","7202","408","7190","407","12","20",
"0500000US08099","Prowers County, Colorado","4421","218","4413","218","8","10",
"0500000US08101","Pueblo County, Colorado","66442","534","66228","543","214","103",
