State,County,year,Total Population of Children <72 Months of Age,Number of Children Tested <72 Months of Age,Number of Children with Confirmed BLLs ³5 µg/dL,Percent of Children with Confirmed BLLs ³5 µg/dL,Number of Children with Confirmed BLLs ³10 µg/dL,Percent of Children with Confirmed BLLs ³10 µg/dL,Number of Children with Confirmed BLLs 5-9 µg/dL,Number of Children with Confirmed BLLs 10-14 µg/dL,Number of Children with Confirmed BLLs 15-19 µg/dL,Number of Children with Confirmed BLLs 20-24 µg/dL,Number of Children with Confirmed BLLs 25-44 µg/dL,Number of Children with Confirmed BLLs ³45 µg/dL
KS,Ness,2021,195,17,0,0.00%,0,0.00%,0,0,0,0,0,0
KS,Norton,2021,334,57,SD,SD,SD,SD,SD,0,0,0,SD,0
KS,Osage,2021,1047,76,0,0.00%,0,0.00%,0,0,0,0,0,0
KS,Osborne,2021,239,8,SD,SD,SD,SD,SD,SD,0,0,0,0
KS,Ottawa,2021,361,51,SD,SD,0,0.00%,SD,0,0,0,0,0
KS,Pawnee,2021,297,56,SD,SD,0,0.00%,SD,0,0,0,0,0
KS,Phillips,2021,372,20,SD,SD,0,0.00%,SD,0,0,0,0,0
KS,Pottawatomie,2021,2249,134,SD,SD,0,0.00%,SD,0,0,0,0,0
KS,Pratt,2021,698,77,SD,SD,0,0.00%,SD,0,0,0,0,0
KS,Rawlins,2021,209,34,SD,SD,0,0.00%,SD,0,0,0,0,0
KS,Reno,2021,4011,551,17,3.10%,SD,SD,13,SD,SD,0,0,0
KS,Republic,2021,312,22,0,0.00%,0,0.00%,0,0,0,0,0,0
KS,Rice,2021,643,70,6,8.60%,SD,SD,SD,SD,0,0,SD,0
KS,Riley,2021,4679,407,SD,SD,0,0.00%,SD,0,0,0,0,0
KS,Rooks,2021,363,19,SD,SD,SD,SD,SD,SD,0,0,0,0
KS,Rush,2021,162,19,SD,SD,0,0.00%,SD,0,0,0,0,0
KS,Russell,2021,486,56,0,0.00%,0,0.00%,0,0,0,0,0,0
KS,Saline,2021,3957,681,40,5.90%,12,1.80%,28,7,SD,SD,SD,0
KS,Scott,2021,358,57,0,0.00%,0,0.00%,0,0,0,0,0,0
KS,Sedgwick,2021,41642,3484,46,1.30%,13,0.40%,33,7,SD,SD,SD,0
KS,Seward,2021,2176,327,SD,SD,SD,SD,SD,SD,0,0,SD,0
KS,Shawnee,2021,12703,1188,18,1.50%,SD,SD,16,SD,SD,0,0,0
KS,Sheridan,2021,169,20,SD,SD,0,0.00%,SD,0,0,0,0,0
KS,Sherman,2021,452,52,SD,SD,0,0.00%,SD,0,0,0,0,0
KS,Smith,2021,246,SD,0,0.00%,0,0.00%,0,0,0,0,0,0
KS,Stafford,2021,310,23,0,0.00%,0,0.00%,0,0,0,0,0,0
KS,Stanton,2021,153,SD,0,0.00%,0,0.00%,0,0,0,0,0,0
KS,Stevens,2021,434,42,SD,SD,SD,SD,0,SD,0,0,0,0
KS,Sumner,2021,1610,125,0,0.00%,0,0.00%,0,0,0,0,0,0
KS,Thomas,2021,646,99,SD,SD,0,0.00%,SD,0,0,0,0,0
KS,Trego,2021,169,18,0,0.00%,0,0.00%,0,0,0,0,0,0
KS,Wabaunsee,2021,470,28,SD,SD,0,0.00%,SD,0,0,0,0,0
KS,Wallace,2021,163,19,0,0.00%,0,0.00%,0,0,0,0,0,0
KS,Washington,2021,473,35,0,0.00%,0,0.00%,0,0,0,0,0,0
KS,Wichita,2021,154,14,0,0.00%,0,0.00%,0,0,0,0,0,0
KS,Wilson,2021,624,51,SD,SD,SD,SD,SD,SD,0,0,0,0
KS,Woodson,2021,185,11,SD,SD,0,0.00%,SD,0,0,0,0,0
KS,Wyandotte,2021,15281,2641,43,1.60%,14,0.50%,29,12,SD,0,SD,0
KS,Unknown,2021,0,534,8,1.50%,SD,SD,7,SD,0,0,0,0
LA,Acadia,2021,5055,191,SD,SD,SD,SD,SD,SD,0,0,0,0
LA,Allen,2021,1827,91,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,Ascension,2021,10692,713,SD,SD,0,0.00%,SD,0,0,0,0,0
LA,Assumption,2021,1391,69,SD,SD,0,0.00%,SD,0,0,0,0,0
LA,Avoyelles,2021,3115,300,SD,SD,0,0.00%,SD,0,0,0,0,0
LA,Beauregard,2021,3212,96,SD,SD,0,0.00%,SD,0,0,0,0,0
LA,Bienville,2021,934,67,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,Bossier,2021,10177,729,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,Caddo,2021,18120,1800,18,1.00%,8,0.40%,10,SD,SD,SD,SD,0
LA,Calcasieu,2021,17368,363,SD,SD,SD,SD,SD,0,SD,0,0,0
LA,Caldwell,2021,754,68,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,Cameron,2021,489,7,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,Catahoula,2021,618,36,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,Claiborne,2021,857,60,SD,SD,0,0.00%,SD,0,0,0,0,0
LA,Concordia,2021,1440,131,SD,SD,0,0.00%,SD,0,0,0,0,0
LA,De Soto,2021,2016,152,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,East Baton Rouge,2021,33973,2142,SD,SD,0,0.00%,SD,0,0,0,0,0
LA,East Carroll,2021,460,24,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,East Feliciana,2021,1070,62,SD,SD,0,0.00%,SD,0,0,0,0,0
LA,Evangeline,2021,2804,157,SD,SD,0,0.00%,SD,0,0,0,0,0
LA,Franklin,2021,1587,151,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,Grant,2021,1511,87,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,Iberia,2021,5716,191,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,Iberville,2021,2171,86,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,Jackson,2021,962,90,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,Jefferson,2021,33347,2012,7,0.30%,SD,SD,6,SD,0,0,0,0
LA,Jefferson Davis,2021,2534,137,SD,SD,SD,SD,SD,0,SD,0,0,0
LA,Lafayette,2021,19637,379,SD,SD,0,0.00%,SD,0,0,0,0,0
LA,Lafourche,2021,7225,198,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,La Salle,2021,1088,108,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,Lincoln,2021,2989,243,SD,SD,SD,SD,0,0,0,SD,0,0
LA,Livingston,2021,11500,578,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,Madison,2021,844,23,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,Morehouse,2021,1947,156,SD,SD,0,0.00%,SD,0,0,0,0,0
LA,Natchitoches,2021,2772,198,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,Orleans,2021,26433,1694,12,0.70%,SD,SD,9,SD,SD,0,0,0
LA,Ouachita,2021,12190,708,8,1.10%,SD,SD,7,0,0,SD,0,0
LA,Plaquemines,2021,1824,59,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,Pointe Coupee,2021,1547,98,SD,SD,SD,SD,0,0,0,0,SD,0
LA,Rapides,2021,10311,509,SD,SD,0,0.00%,SD,0,0,0,0,0
LA,Red River,2021,609,74,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,Richland,2021,1575,173,SD,SD,0,0.00%,SD,0,0,0,0,0
LA,Sabine,2021,1648,70,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,St. Bernard,2021,3850,69,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,St. Charles,2021,3813,63,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,St. Helena,2021,688,8,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,St. James,2021,1440,32,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,St. John the Baptist,2021,3257,20,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,St. Landry,2021,7066,228,SD,SD,0,0.00%,SD,0,0,0,0,0
LA,St. Martin,2021,4112,16,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,St. Mary,2021,3915,39,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,St. Tammany,2021,18740,242,SD,SD,0,0.00%,SD,0,0,0,0,0
LA,Tangipahoa,2021,11433,481,SD,SD,SD,SD,SD,0,SD,0,0,0
LA,Tensas,2021,275,15,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,Terrebonne,2021,8997,203,SD,SD,SD,SD,SD,SD,0,0,0,0
LA,Union,2021,1521,109,SD,SD,0,0.00%,SD,0,0,0,0,0
LA,Vermilion,2021,4621,279,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,Vernon,2021,4426,173,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,Washington,2021,3458,217,SD,SD,SD,SD,0,SD,0,0,0,0
LA,Webster,2021,2755,122,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,West Baton Rouge,2021,2213,92,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,West Carroll,2021,693,49,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,West Feliciana,2021,781,21,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,Winn,2021,930,77,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,Unknown,2021,0,11744,55,0.50%,8,0.10%,47,6,SD,0,0,0
MD,Allegany,2021,3838,936,14,1.50%,SD,SD,9,SD,SD,0,SD,0
MD,Anne Arundel,2021,42679,9762,38,0.40%,8,0.10%,30,SD,SD,SD,0,0
MD,Baltimore,2021,58607,16489,114,0.70%,22,0.10%,92,11,8,SD,SD,0
MD,Calvert,2021,6120,1240,8,0.60%,SD,SD,6,SD,SD,0,0,0
MD,Caroline,2021,2520,630,8,1.30%,SD,SD,6,SD,0,0,0,0
MD,Carroll,2021,11313,2563,11,0.40%,0,0.00%,11,0,0,0,0,0
MD,Cecil,2021,7040,1526,11,0.70%,SD,SD,9,SD,0,0,0,0
MD,Charles,2021,11784,2258,8,0.40%,SD,SD,7,0,SD,0,0,0
MD,Dorchester,2021,2122,537,7,1.30%,0,0.00%,7,0,0,0,0,0
MD,Frederick,2021,19060,4082,23,0.60%,6,0.10%,17,SD,SD,0,0,0
MD,Garrett,2021,1648,293,SD,SD,0,0.00%,SD,0,0,0,0,0
MD,Harford,2021,17498,4087,8,0.20%,SD,SD,6,SD,0,0,0,0
MD,Howard,2021,23161,4684,36,0.80%,8,0.20%,28,6,SD,SD,0,0
MD,Kent,2021,920,180,SD,SD,0,0.00%,SD,0,0,0,0,0
MD,Montgomery,2021,76717,20503,106,0.50%,33,0.20%,73,24,SD,SD,SD,0
MD,Prince George's,2021,70242,19881,161,0.80%,41,0.20%,120,27,6,SD,SD,0
MD,Queen Anne's,2021,3139,732,SD,SD,SD,SD,SD,SD,0,0,SD,0
MD,St. Mary's,2021,8619,1967,SD,SD,0,0.00%,SD,0,0,0,0,0
MD,Somerset,2021,1388,348,6,1.70%,SD,SD,SD,0,0,SD,0,0
MD,Talbot,2021,2043,485,8,1.60%,SD,SD,SD,SD,0,SD,0,0
MD,Washington,2021,10242,2507,41,1.60%,10,0.40%,31,6,SD,SD,SD,0
MD,Wicomico,2021,7580,1865,16,0.90%,SD,SD,13,SD,SD,0,SD,0
MD,Worcester,2021,2632,612,SD,SD,0,0.00%,SD,0,0,0,0,0
MD,Baltimore (city),2021,42461,11453,394,3.40%,86,0.80%,308,47,24,10,SD,SD
MD,Unknown,2021,0,146,6,4.10%,SD,SD,SD,SD,SD,SD,0,0
MI,Alcona,2021,406,77,0,0.00%,0,0.00%,0,0,0,0,0,0
MI,Alger,2021,402,19,0,0.00%,0,0.00%,0,0,0,0,0,0
MI,Allegan,2021,8796,910,12,1.30%,SD,SD,10,SD,0,SD,0,0
MI,Alpena,2021,1600,258,SD,SD,0,0.00%,SD,0,0,0,0,0
MI,Antrim,2021,1182,185,0,0.00%,0,0.00%,0,0,0,0,0,0
MI,Arenac,2021,868,105,0,0.00%,0,0.00%,0,0,0,0,0,0
MI,Baraga,2021,394,88,0,0.00%,0,0.00%,0,0,0,0,0,0
MI,Barry,2021,4125,221,SD,SD,0,0.00%,SD,0,0,0,0,0
MI,Bay,2021,6005,782,6,0.80%,SD,SD,SD,SD,0,SD,0,0
MI,Benzie,2021,966,127,0,0.00%,0,0.00%,0,0,0,0,0,0
MI,Berrien,2021,10280,1137,32,2.80%,8,0.70%,24,SD,SD,0,SD,0
MI,Branch,2021,3224,252,9,3.60%,7,2.80%,SD,SD,SD,SD,0,0
MI,Calhoun,2021,9583,1243,36,2.90%,9,0.70%,27,SD,SD,SD,SD,0
MI,Cass,2021,2997,361,7,1.90%,SD,SD,6,SD,0,0,0,0
MI,Charlevoix,2021,1389,247,0,0.00%,0,0.00%,0,0,0,0,0,0
MI,Cheboygan,2021,1202,94,SD,SD,0,0.00%,SD,0,0,0,0,0
MI,Chippewa,2021,2036,164,0,0.00%,0,0.00%,0,0,0,0,0,0
MI,Clare,2021,1934,159,0,0.00%,0,0.00%,0,0,0,0,0,0
MI,Clinton,2021,5275,248,SD,SD,SD,SD,SD,SD,0,0,0,0
MI,Crawford,2021,756,58,0,0.00%,0,0.00%,0,0,0,0,0,0
MI,Delta,2021,2114,241,SD,SD,SD,SD,SD,0,0,SD,0,0
MI,Dickinson,2021,1542,67,SD,SD,0,0.00%,SD,0,0,0,0,0
MI,Eaton,2021,7050,406,6,1.50%,0,0.00%,6,0,0,0,0,0
MI,Emmet,2021,1815,307,0,0.00%,0,0.00%,0,0,0,0,0,0
MI,Genesee,2021,28331,3540,16,0.50%,6,0.20%,10,6,0,0,0,0
MI,Gladwin,2021,1628,75,0,0.00%,0,0.00%,0,0,0,0,0,0
MI,Gogebic,2021,725,93,SD,SD,0,0.00%,SD,0,0,0,0,0
MI,Grand Traverse,2021,5643,724,SD,SD,0,0.00%,SD,0,0,0,0,0
MI,Gratiot,2021,2414,163,SD,SD,SD,SD,SD,SD,0,0,0,0
MI,Hillsdale,2021,3039,322,11,3.40%,SD,SD,10,0,0,0,SD,0
MI,Houghton,2021,2206,393,7,1.80%,SD,SD,6,0,0,SD,0,0
MI,Huron,2021,1760,197,SD,SD,0,0.00%,SD,0,0,0,0,0
MI,Ingham,2021,18987,1189,33,2.80%,16,1.30%,17,6,6,SD,SD,0
MI,Ionia,2021,4381,506,6,1.20%,SD,SD,SD,0,0,SD,0,0
MI,Iosco,2021,1441,119,0,0.00%,0,0.00%,0,0,0,0,0,0
MI,Iron,2021,569,32,SD,SD,0,0.00%,SD,0,0,0,0,0
MI,Isabella,2021,3846,420,SD,SD,SD,SD,0,0,0,0,SD,0
MI,Jackson,2021,10646,1693,16,0.90%,6,0.40%,10,SD,0,SD,SD,0
MI,Kalamazoo,2021,18699,2805,32,1.10%,11,0.40%,21,6,SD,SD,SD,0
MI,Kalkaska,2021,1139,124,0,0.00%,0,0.00%,0,0,0,0,0,0
MI,Kent,2021,51347,5948,77,1.30%,22,0.40%,55,13,SD,SD,SD,0
MI,Keweenaw,2021,108,16,0,0.00%,0,0.00%,0,0,0,0,0,0
MI,Lake,2021,621,59,0,0.00%,0,0.00%,0,0,0,0,0,0
MI,Lapeer,2021,5185,618,SD,SD,0,0.00%,SD,0,0,0,0,0
MI,Leelanau,2021,1022,117,0,0.00%,0,0.00%,0,0,0,0,0,0
MI,Lenawee,2021,6342,634,18,2.80%,SD,SD,13,SD,SD,SD,0,0
MI,Livingston,2021,11593,557,SD,SD,0,0.00%,SD,0,0,0,0,0
MI,Luce,2021,334,25,SD,SD,SD,SD,0,0,SD,0,0,0
MI,Mackinac,2021,566,46,SD,SD,0,0.00%,SD,0,0,0,0,0
MI,Macomb,2021,57066,8078,19,0.20%,7,0.10%,12,SD,SD,SD,SD,SD
MI,Manistee,2021,1250,203,SD,SD,SD,SD,0,SD,0,0,0,0
MI,Marquette,2021,3636,210,SD,SD,SD,SD,SD,SD,0,0,0,0
MI,Mason,2021,1778,346,SD,SD,0,0.00%,SD,0,0,0,0,0
MI,Mecosta,2021,2613,366,SD,SD,0,0.00%,SD,0,0,0,0,0
MI,Menominee,2021,1214,104,0,0.00%,0,0.00%,0,0,0,0,0,0
MI,Midland,2021,5445,430,SD,SD,SD,SD,SD,SD,0,0,0,0
MI,Missaukee,2021,1062,35,SD,SD,0,0.00%,SD,0,0,0,0,0
MI,Monroe,2021,9449,1006,7,0.70%,SD,SD,SD,SD,0,0,0,0
MI,Montcalm,2021,4278,408,6,1.50%,SD,SD,SD,SD,0,0,0,0
MI,Montmorency,2021,444,42,0,0.00%,0,0.00%,0,0,0,0,0,0
MI,Muskegon,2021,12611,1979,30,1.50%,9,0.50%,21,7,SD,0,0,0
MI,Newaygo,2021,3376,324,0,0.00%,0,0.00%,0,0,0,0,0,0
MI,Oakland,2021,80440,12413,56,0.50%,18,0.10%,38,10,SD,SD,SD,0
MI,Oceana,2021,1701,288,SD,SD,0,0.00%,SD,0,0,0,0,0
MI,Ogemaw,2021,1142,94,0,0.00%,0,0.00%,0,0,0,0,0,0
MI,Ontonagon,2021,185,36,0,0.00%,0,0.00%,0,0,0,0,0,0
MI,Osceola,2021,1587,168,SD,SD,0,0.00%,SD,0,0,0,0,0
MI,Oscoda,2021,562,13,0,0.00%,0,0.00%,0,0,0,0,0,0
MI,Otsego,2021,1551,263,SD,SD,SD,SD,0,0,SD,0,0,0
MI,Ottawa,2021,21082,2485,15,0.60%,SD,SD,13,SD,0,0,SD,0
MI,Presque Isle,2021,574,54,0,0.00%,0,0.00%,0,0,0,0,0,0
MI,Roscommon,2021,1020,33,0,0.00%,0,0.00%,0,0,0,0,0,0
MI,Saginaw,2021,13085,1794,20,1.10%,9,0.50%,11,SD,SD,0,SD,0
MI,St. Clair,2021,9692,425,6,1.40%,SD,SD,SD,SD,0,SD,0,0
MI,St. Joseph,2021,4699,275,16,5.80%,SD,SD,11,SD,SD,0,0,0
MI,Sanilac,2021,2477,287,SD,SD,0,0.00%,SD,0,0,0,0,0
MI,Schoolcraft,2021,429,43,0,0.00%,0,0.00%,0,0,0,0,0,0
MI,Shiawassee,2021,4326,619,SD,SD,SD,SD,SD,SD,SD,0,0,0
MI,Tuscola,2021,3275,340,SD,SD,0,0.00%,SD,0,0,0,0,0
MI,Van Buren,2021,5397,624,9,1.40%,SD,SD,8,0,SD,0,0,0
MI,Washtenaw,2021,21255,2166,9,0.40%,SD,SD,SD,SD,SD,0,SD,0
MI,Wayne,2021,136432,23089,539,2.30%,155,0.70%,384,97,26,12,17,SD
MI,Wexford,2021,2445,158,SD,SD,SD,SD,0,SD,0,0,0,0
MI,Unknown,2021,0,3585,117,3.30%,34,0.90%,83,24,SD,SD,SD,SD
MS,Adams,2021,2046,263,SD,SD,SD,SD,0,SD,0,0,0,0
MS,Alcorn,2021,2605,315,SD,SD,SD,SD,0,SD,SD,0,SD,0
MS,Amite,2021,741,40,0,0.00%,0,0.00%,0,0,0,0,0,0
MS,Attala,2021,1382,26,0,0.00%,0,0.00%,0,0,0,0,0,0
MS,Benton,2021,591,86,SD,SD,SD,SD,0,SD,0,0,0,0
MS,Bolivar,2021,2418,153,SD,SD,SD,SD,SD,0,SD,0,0,0
MS,Calhoun,2021,974,123,SD,SD,SD,SD,SD,SD,SD,0,0,0
MS,Carroll,2021,500,55,SD,SD,0,0.00%,SD,0,0,0,0,0
MS,Chickasaw,2021,1437,118,0,0.00%,0,0.00%,0,0,0,0,0,0
MS,Choctaw,2021,516,28,0,0.00%,0,0.00%,0,0,0,0,0,0
MS,Claiborne,2021,644,60,0,0.00%,0,0.00%,0,0,0,0,0,0
MS,Clarke,2021,1117,79,SD,SD,SD,SD,0,SD,0,0,0,0
MS,Clay,2021,1349,70,0,0.00%,0,0.00%,0,0,0,0,0,0
MS,Coahoma,2021,1998,53,SD,SD,SD,SD,SD,0,SD,0,0,SD
MS,Copiah,2021,1970,248,SD,SD,0,0.00%,SD,0,0,0,0,0
MS,Covington,2021,1435,158,SD,SD,SD,SD,0,0,SD,0,0,0
MS,DeSoto,2021,13567,1024,0,0.00%,0,0.00%,0,0,0,0,0,0
MS,Forrest,2021,5976,539,SD,SD,SD,SD,SD,0,0,SD,SD,0
MS,Franklin,2021,532,48,SD,SD,0,0.00%,SD,0,0,0,0,0
MS,George,2021,2180,265,SD,SD,0,0.00%,SD,0,0,0,0,0
MS,Greene,2021,836,138,0,0.00%,0,0.00%,0,0,0,0,0,0
MS,Grenada,2021,1538,152,SD,SD,SD,SD,0,0,0,SD,0,SD
MS,Hancock,2021,2892,58,0,0.00%,0,0.00%,0,0,0,0,0,0
MS,Harrison,2021,15895,656,0,0.00%,0,0.00%,0,0,0,0,0,0
MS,Hinds,2021,17213,1578,6,0.40%,SD,SD,SD,SD,0,SD,0,0
MS,Holmes,2021,1268,104,SD,SD,0,0.00%,SD,0,0,0,0,0
MS,Humphreys,2021,544,51,0,0.00%,0,0.00%,0,0,0,0,0,0
MS,Issaquena,2021,37,SD,0,0.00%,0,0.00%,0,0,0,0,0,0
MS,Itawamba,2021,1571,146,0,0.00%,0,0.00%,0,0,0,0,0,0
MS,Jackson,2021,9911,412,0,0.00%,0,0.00%,0,0,0,0,0,0
MS,Jasper,2021,1180,30,SD,SD,0,0.00%,SD,0,0,0,0,0
MS,Jefferson,2021,521,60,0,0.00%,0,0.00%,0,0,0,0,0,0
MS,Jefferson Davis,2021,688,76,0,0.00%,0,0.00%,0,0,0,0,0,0
MS,Jones,2021,5504,192,SD,SD,SD,SD,SD,SD,0,0,0,0
MS,Kemper,2021,545,60,SD,SD,0,0.00%,SD,0,0,0,0,0
MS,Lafayette,2021,3262,315,SD,SD,0,0.00%,SD,0,0,0,0,0
MS,Lamar,2021,4895,328,SD,SD,0,0.00%,SD,0,0,0,0,0
MS,Lauderdale,2021,5490,358,7,2.00%,0,0.00%,7,0,0,0,0,0
MS,Lawrence,2021,906,115,SD,SD,SD,SD,SD,0,0,SD,0,0
MS,Leake,2021,1748,46,SD,SD,0,0.00%,SD,0,0,0,0,0
MS,Lee,2021,6857,702,SD,SD,SD,SD,SD,SD,SD,0,0,0
MS,Leflore,2021,2523,257,6,2.30%,SD,SD,SD,SD,SD,0,0,0
MS,Lincoln,2021,2385,219,SD,SD,0,0.00%,SD,0,0,0,0,0
MS,Lowndes,2021,4684,406,SD,SD,SD,SD,SD,SD,SD,0,0,0
MS,Madison,2021,8101,301,SD,SD,SD,SD,0,SD,0,0,0,0
MS,Marion,2021,1714,124,SD,SD,SD,SD,SD,SD,0,SD,0,0
MS,Marshall,2021,2359,305,SD,SD,SD,SD,0,0,0,0,SD,0
MS,Monroe,2021,2354,107,0,0.00%,0,0.00%,0,0,0,0,0,0
MS,Montgomery,2021,704,58,SD,SD,0,0.00%,SD,0,0,0,0,0
MS,Neshoba,2021,2580,225,9,4.00%,SD,SD,7,SD,0,0,0,0
MS,Newton,2021,1616,53,SD,SD,0,0.00%,SD,0,0,0,0,0
MS,Noxubee,2021,879,102,0,0.00%,0,0.00%,0,0,0,0,0,0
MS,Oktibbeha,2021,2997,242,SD,SD,0,0.00%,SD,0,0,0,0,0
MS,Panola,2021,2790,265,SD,SD,SD,SD,SD,SD,0,0,0,SD
MS,Pearl River,2021,3876,171,SD,SD,0,0.00%,SD,0,0,0,0,0
MS,Perry,2021,819,88,0,0.00%,0,0.00%,0,0,0,0,0,0
MS,Pike,2021,3138,247,6,2.40%,SD,SD,SD,0,0,SD,0,0
MS,Pontotoc,2021,2754,320,0,0.00%,0,0.00%,0,0,0,0,0,0
MS,Prentiss,2021,1802,198,SD,SD,0,0.00%,SD,0,0,0,0,0
MS,Quitman,2021,488,37,SD,SD,SD,SD,0,0,0,SD,0,0
MS,Rankin,2021,10450,389,SD,SD,0,0.00%,SD,0,0,0,0,0
MS,Scott,2021,2721,67,SD,SD,0,0.00%,SD,0,0,0,0,0
MS,Sharkey,2021,303,17,0,0.00%,0,0.00%,0,0,0,0,0,0
MS,Simpson,2021,1845,123,SD,SD,0,0.00%,SD,0,0,0,0,0
MS,Smith,2021,1148,68,0,0.00%,0,0.00%,0,0,0,0,0,0
MS,Stone,2021,1280,77,0,0.00%,0,0.00%,0,0,0,0,0,0
MS,Sunflower,2021,1658,135,SD,SD,SD,SD,0,SD,0,SD,0,0
MS,Tallahatchie,2021,932,60,SD,SD,SD,SD,SD,SD,SD,SD,0,0
MS,Tate,2021,2074,252,SD,SD,SD,SD,SD,SD,0,0,0,0
MS,Tippah,2021,1581,221,0,0.00%,0,0.00%,0,0,0,0,0,0
MS,Tishomingo,2021,1260,127,0,0.00%,0,0.00%,0,0,0,0,0,0
MS,Tunica,2021,924,79,0,0.00%,0,0.00%,0,0,0,0,0,0
MS,Union,2021,2263,247,0,0.00%,0,0.00%,0,0,0,0,0,0
MS,Walthall,2021,1006,49,SD,SD,SD,SD,0,0,0,SD,0,0
MS,Warren,2021,3523,263,SD,SD,SD,SD,SD,0,0,SD,0,0
MS,Washington,2021,3462,173,SD,SD,0,0.00%,SD,0,0,0,0,0
MS,Wayne,2021,1627,87,SD,SD,SD,SD,0,0,0,0,SD,0
MS,Webster,2021,712,36,SD,SD,0,0.00%,SD,0,0,0,0,0
MS,Wilkinson,2021,545,65,0,0.00%,0,0.00%,0,0,0,0,0,0
MS,Winston,2021,1157,123,SD,SD,SD,SD,0,0,SD,0,0,0
MS,Yalobusha,2021,870,106,SD,SD,SD,SD,SD,SD,0,0,0,0
MS,Yazoo,2021,1836,284,6,2.10%,SD,SD,SD,SD,0,0,0,0
MS,Unknown,2021,0,1909,12,0.60%,SD,SD,10,0,SD,SD,0,0
MO,Adair,2021,1585,235,SD,SD,0,0.00%,SD,0,0,0,0,0
MO,Andrew,2021,1206,208,SD,SD,0,0.00%,SD,0,0,0,0,0
MO,Atchison,2021,300,32,SD,SD,SD,SD,SD,SD,0,SD,0,0
MO,Audrain,2021,1848,293,SD,SD,SD,SD,0,SD,SD,0,SD,0
MO,Barry,2021,2560,334,SD,SD,SD,SD,SD,SD,0,0,0,0
MO,Barton,2021,814,101,SD,SD,SD,SD,0,0,SD,0,0,0
MO,Bates,2021,1152,90,SD,SD,SD,SD,SD,0,0,SD,0,0
MO,Benton,2021,1069,112,SD,SD,SD,SD,0,0,SD,0,0,0
MO,Bollinger,2021,793,139,SD,SD,SD,SD,SD,SD,0,0,0,0
MO,Boone,2021,12520,1809,SD,SD,SD,SD,SD,0,0,SD,0,0
MO,Buchanan,2021,6416,1073,59,5.50%,19,1.80%,40,8,6,SD,SD,SD
MO,Butler,2021,3154,432,SD,SD,0,0.00%,SD,0,0,0,0,0
MO,Caldwell,2021,640,96,SD,SD,SD,SD,0,SD,0,0,0,0
MO,Callaway,2021,2995,396,SD,SD,SD,SD,SD,SD,0,0,0,0
MO,Camden,2021,2395,196,SD,SD,SD,SD,SD,SD,0,0,0,0
MO,Cape Girardeau,2021,5566,453,SD,SD,0,0.00%,SD,0,0,0,0,0
MO,Carroll,2021,520,118,SD,SD,0,0.00%,SD,0,0,0,0,0
MO,Carter,2021,428,52,SD,SD,SD,SD,0,0,SD,0,0,0
MO,Cass,2021,7540,633,SD,SD,0,0.00%,SD,0,0,0,0,0
MO,Cedar,2021,1164,83,SD,SD,0,0.00%,SD,0,0,0,0,0
MO,Chariton,2021,530,103,0,0.00%,0,0.00%,0,0,0,0,0,0
MO,Christian,2021,6872,902,SD,SD,SD,SD,SD,0,SD,0,0,0
MO,Clark,2021,467,53,0,0.00%,0,0.00%,0,0,0,0,0,0
MO,Clay,2021,19162,1710,13,0.80%,SD,SD,12,0,SD,0,0,0
MO,Clinton,2021,1441,167,SD,SD,SD,SD,SD,SD,0,0,0,0
MO,Cole,2021,5385,649,8,1.20%,SD,SD,6,SD,0,0,0,0
