State,County,year,Total Population of Children <72 Months of Age,Number of Children Tested <72 Months of Age,Number of Children with Confirmed BLLs ³5 µg/dL,Percent of Children with Confirmed BLLs ³5 µg/dL,Number of Children with Confirmed BLLs ³10 µg/dL,Percent of Children with Confirmed BLLs ³10 µg/dL,Number of Children with Confirmed BLLs 5-9 µg/dL,Number of Children with Confirmed BLLs 10-14 µg/dL,Number of Children with Confirmed BLLs 15-19 µg/dL,Number of Children with Confirmed BLLs 20-24 µg/dL,Number of Children with Confirmed BLLs 25-44 µg/dL,Number of Children with Confirmed BLLs ³45 µg/dL
FL,Bay,2021,11362,332,0,0.00%,0,0.00%,0,0,0,0,0,0
FL,Bradford,2021,1773,240,SD,SD,SD,SD,SD,0,SD,0,0,0
FL,Brevard,2021,33409,3353,SD,SD,0,0.00%,SD,0,0,0,0,0
FL,Broward,2021,133258,10916,19,0.20%,8,0.10%,11,SD,SD,0,SD,SD
FL,Calhoun,2021,811,54,0,0.00%,0,0.00%,0,0,0,0,0,0
FL,Charlotte,2021,6752,641,SD,SD,0,0.00%,SD,0,0,0,0,0
FL,Citrus,2021,6713,859,0,0.00%,0,0.00%,0,0,0,0,0,0
FL,Clay,2021,14724,864,0,0.00%,0,0.00%,0,0,0,0,0,0
FL,Collier,2021,20099,3493,SD,SD,0,0.00%,SD,0,0,0,0,0
FL,Columbia,2021,4988,275,SD,SD,SD,SD,0,SD,SD,0,0,0
FL,DeSoto,2021,2286,93,0,0.00%,0,0.00%,0,0,0,0,0,0
FL,Dixie,2021,938,126,SD,SD,0,0.00%,SD,0,0,0,0,0
FL,Duval,2021,77111,5327,29,0.50%,8,0.20%,21,6,SD,0,0,0
FL,Escambia,2021,22952,962,SD,SD,0,0.00%,SD,0,0,0,0,0
FL,Flagler,2021,5488,254,0,0.00%,0,0.00%,0,0,0,0,0,0
FL,Franklin,2021,606,98,0,0.00%,0,0.00%,0,0,0,0,0,0
FL,Gadsden,2021,3196,584,SD,SD,0,0.00%,SD,0,0,0,0,0
FL,Gilchrist,2021,1228,174,SD,SD,SD,SD,0,SD,0,0,0,0
FL,Glades,2021,510,83,0,0.00%,0,0.00%,0,0,0,0,0,0
FL,Gulf,2021,765,137,SD,SD,0,0.00%,SD,0,0,0,0,0
FL,Hamilton,2021,925,26,0,0.00%,0,0.00%,0,0,0,0,0,0
FL,Hardee,2021,2178,482,SD,SD,SD,SD,SD,SD,0,0,0,0
FL,Hendry,2021,3708,772,SD,SD,SD,SD,SD,SD,0,0,0,0
FL,Hernando,2021,10835,1102,SD,SD,0,0.00%,SD,0,0,0,0,0
FL,Highlands,2021,5450,1216,6,0.50%,SD,SD,SD,SD,0,0,0,0
FL,Hillsborough,2021,107340,10887,29,0.30%,8,0.10%,21,SD,SD,SD,0,SD
FL,Holmes,2021,1276,66,0,0.00%,0,0.00%,0,0,0,0,0,0
FL,Indian River,2021,7744,955,0,0.00%,0,0.00%,0,0,0,0,0,0
FL,Jackson,2021,2854,244,SD,SD,SD,SD,SD,SD,0,0,0,0
FL,Jefferson,2021,742,107,SD,SD,0,0.00%,SD,0,0,0,0,0
FL,Lafayette,2021,420,39,0,0.00%,0,0.00%,0,0,0,0,0,0
FL,Lake,2021,22032,1498,6,0.40%,SD,SD,SD,SD,0,0,0,0
FL,Lee,2021,43059,6010,19,0.30%,SD,SD,17,SD,0,0,0,0
FL,Leon,2021,18188,1507,SD,SD,SD,SD,SD,0,SD,0,0,0
FL,Levy,2021,2551,503,0,0.00%,0,0.00%,0,0,0,0,0,0
FL,Liberty,2021,435,36,0,0.00%,0,0.00%,0,0,0,0,0,0
FL,Madison,2021,1098,202,SD,SD,0,0.00%,SD,0,0,0,0,0
FL,Manatee,2021,22251,949,SD,SD,SD,SD,SD,0,SD,0,0,0
FL,Marion,2021,22284,1662,SD,SD,0,0.00%,SD,0,0,0,0,0
FL,Martin,2021,7940,951,0,0.00%,0,0.00%,0,0,0,0,0,0
FL,Miami-Dade,2021,185047,24505,60,0.20%,18,0.10%,42,12,SD,SD,0,0
FL,Monroe,2021,3947,214,SD,SD,0,0.00%,SD,0,0,0,0,0
FL,Nassau,2021,5489,179,0,0.00%,0,0.00%,0,0,0,0,0,0
FL,Okaloosa,2021,16333,645,0,0.00%,0,0.00%,0,0,0,0,0,0
