NAME,DP04_0073PE,DP04_0073PM,DP04_0074PE,DP04_0074PM,DP04_0075PE,DP04_0075PM
Geographic Area Name,Percent!!SELECTED CHARACTERISTICS!!Occupied housing units!!Lacking complete plumbing facilities,Percent Margin of Error!!SELECTED CHARACTERISTICS!!Occupied housing units!!Lacking complete plumbing facilities,Percent!!SELECTED CHARACTERISTICS!!Occupied housing units!!Lacking complete kitchen facilities,Percent Margin of Error!!SELECTED CHARACTERISTICS!!Occupied housing units!!Lacking complete kitchen facilities,Percent!!SELECTED CHARACTERISTICS!!Occupied housing units!!No telephone service available,Percent Margin of Error!!SELECTED CHARACTERISTICS!!Occupied housing units!!No telephone service available
"La Paz County, Arizona",0.8,0.7,1.2,0.9,1.4,0.9
"Maricopa County, Arizona",0.3,0.1,0.6,0.1,1.3,0.1
"Mohave County, Arizona",0.6,0.2,0.8,0.3,1.5,0.3
"Navajo County, Arizona",7,0.8,5.8,0.8,3.4,0.5
"Pima County, Arizona",0.4,0.1,0.8,0.1,1.2,0.1
"Pinal County, Arizona",0.5,0.2,0.6,0.3,1.1,0.2
"Santa Cruz County, Arizona",1.2,0.7,1.4,1,1.3,0.5
"Yavapai County, Arizona",0.3,0.1,0.6,0.2,1.2,0.3
"Yuma County, Arizona",0.6,0.3,0.7,0.2,2.2,0.5
"Arkansas County, Arkansas",0,0.6,1.1,1.2,3.4,1.7
"Ashley County, Arkansas",0.1,0.1,0.4,0.4,1.8,1
"Baxter County, Arkansas",1,0.7,1.2,0.7,1.2,0.5
"Benton County, Arkansas",0.1,0.1,0.5,0.2,0.6,0.2
"Boone County, Arkansas",1.1,0.7,2.9,1.2,2.8,1.3
"Bradley County, Arkansas",0.4,0.5,1.1,0.8,3.5,1.9
"Calhoun County, Arkansas",0.3,0.4,0.3,0.4,2.2,3.1
"Carroll County, Arkansas",0.8,0.6,1.4,0.8,2.4,1.2
"Chicot County, Arkansas",0.1,0.3,0.5,0.6,3.3,1.8
"Clark County, Arkansas",0.1,0.3,0.6,0.5,1.3,0.9
"Clay County, Arkansas",0.1,0.1,0.5,0.6,2.1,1
"Cleburne County, Arkansas",0.3,0.3,0.5,0.4,2.4,1.2
"Cleveland County, Arkansas",0.5,0.6,0.3,0.4,2.3,1.3
"Columbia County, Arkansas",0,0.5,0.3,0.3,1.1,1
"Conway County, Arkansas",0.2,0.2,0.2,0.2,2.9,1.6
"Craighead County, Arkansas",0.7,0.5,0.8,0.6,0.9,0.4
"Crawford County, Arkansas",0.8,0.5,1,0.6,2.3,0.8
"Crittenden County, Arkansas",0.3,0.2,0.5,0.3,1.5,0.4
"Cross County, Arkansas",0.9,0.8,0.3,0.3,2.2,1.1
"Dallas County, Arkansas",0,1.6,0.2,0.2,3.6,2.2
"Desha County, Arkansas",0.4,0.4,0.1,0.2,2.4,1.4
"Drew County, Arkansas",0.6,0.5,1.3,0.9,1.2,0.8
"Faulkner County, Arkansas",1,0.4,1.3,0.5,1.2,0.4
"Franklin County, Arkansas",0.3,0.3,0.3,0.3,1.9,1
"Fulton County, Arkansas",1,0.8,0.8,0.7,1.3,0.7
"Garland County, Arkansas",0.3,0.3,1.7,0.6,1,0.4
"Grant County, Arkansas",0.4,0.4,0,0.1,2.7,2
"Greene County, Arkansas",0.4,0.4,0.4,0.3,2.6,0.7
"Hempstead County, Arkansas",0.9,1.2,3.4,2.4,2.1,1.6
"Hot Spring County, Arkansas",1.2,1,2.3,1.3,1.2,0.6
"Howard County, Arkansas",0,0.7,0.5,0.4,1,0.8
"Independence County, Arkansas",0.9,0.6,1,0.6,2.6,1.4
"Izard County, Arkansas",0.7,1,0.2,0.4,2.1,1.4
"Jackson County, Arkansas",1.3,0.9,1.7,1.2,0.9,0.6
"Jefferson County, Arkansas",0.7,0.5,1,0.6,1.5,0.5
"Johnson County, Arkansas",0.8,0.4,1.1,0.6,2,1
"Lafayette County, Arkansas",0.4,0.6,0.7,0.8,1.5,1.1
"Lawrence County, Arkansas",0.2,0.2,1,0.8,1.4,0.8
"Lee County, Arkansas",1,1.3,1.7,1.6,4.7,3.4
"Lincoln County, Arkansas",0.2,0.3,0.1,0.2,2.4,1.5
"Little River County, Arkansas",0.6,0.7,0.9,0.8,3.2,1.4
"Logan County, Arkansas",0.6,0.6,2.1,1.1,2.5,1
"Lonoke County, Arkansas",0.3,0.2,0.5,0.3,1.2,0.5
"Madison County, Arkansas",1,1,1.2,0.8,0.9,0.6
"Marion County, Arkansas",0.8,0.8,1.1,0.7,1.3,0.7
"Miller County, Arkansas",0.2,0.2,0.7,0.5,2.2,0.8
"Mississippi County, Arkansas",0.2,0.3,0.6,0.5,1.5,0.7
"Monroe County, Arkansas",0,1.3,3.3,2.8,4.6,2
"Montgomery County, Arkansas",1.3,1.2,0.9,0.7,4,2.1
"Nevada County, Arkansas",2.1,2.1,2.7,2.5,3.1,2.2
"Newton County, Arkansas",3,1.6,1.8,1.1,0.5,0.6
"Ouachita County, Arkansas",1.1,0.7,2.5,1,2.5,1.3
"Perry County, Arkansas",0,1,0.4,0.5,0.7,0.8
"Phillips County, Arkansas",0.1,0.1,1.4,1.2,1,0.5
"Pike County, Arkansas",0.3,0.3,0.3,0.4,1.8,0.9
"Poinsett County, Arkansas",0.3,0.3,0.7,0.6,1.3,0.6
"Polk County, Arkansas",1.1,0.9,1.9,1,2.3,1.1
"Pope County, Arkansas",0.5,0.3,0.9,0.4,1.1,0.5
"Prairie County, Arkansas",0.2,0.3,0.6,0.5,2,1.1
"Pulaski County, Arkansas",0.8,0.2,1.2,0.3,1.7,0.3
"Randolph County, Arkansas",0.7,0.7,1,0.8,3.8,1.7
"St. Francis County, Arkansas",1.1,0.6,0.9,0.5,2.7,1.1
"Saline County, Arkansas",0.4,0.2,0.8,0.3,0.6,0.2
"Scott County, Arkansas",0.3,0.3,2.5,1.3,5,2.7
"Searcy County, Arkansas",1.2,1.2,1,0.8,1.6,1.2
"Sebastian County, Arkansas",0.3,0.2,1.4,0.5,1.9,0.6
"Sevier County, Arkansas",0.3,0.4,1.6,1.7,1.1,0.8
"Sharp County, Arkansas",1.2,1.2,1.2,1.2,3.8,1.8
"Stone County, Arkansas",1.9,1.6,1.9,1.7,1.8,1.2
"Union County, Arkansas",0.7,0.6,0.5,0.3,2.6,0.9
"Van Buren County, Arkansas",1.2,0.7,1.3,0.7,2.7,1.3
"Washington County, Arkansas",0.5,0.2,0.9,0.3,1.6,0.4
"White County, Arkansas",0.1,0.1,0.4,0.2,1.1,0.4
"Woodruff County, Arkansas",0.4,0.5,0.2,0.2,2.4,1.5
"Yell County, Arkansas",0.3,0.3,1.2,0.6,1,0.8
